program,cohort,pacing,past_cohorts,ed_coach_used,ed_coach_available,learn_url
Program: Online Software Engineering Bootcamp,Cohort: online-web-ft-100719,Pacing: Full Time,,0,0,http://learn.co/kkamali
Program: Online Web Developer Program,Cohort: v-000,Pacing: Self Paced,,0,0,http://learn.co/kathrynburns
Program: Online Data Science Bootcamp,Cohort: online-ds-sp-000,Pacing: Self Paced,,5,5,http://learn.co/redaisy
Program: Online Software Engineering Bootcamp,Cohort: online-web-pt-081219,Pacing: Part Time,,0,0,http://learn.co/kseggelke918
Program: Online Web Developer Program,Cohort: v-000,Pacing: Self Paced,,0,0,http://learn.co/katsmith20
Program: Online Web Developer Program,Cohort: v-000,Pacing: Self Paced,,4,4,http://learn.co/pritckat
Program: Online Web Developer Program,Cohort: v-000,Pacing: Self Paced,,0,0,http://learn.co/kaushalpatel778
Program: UI Design,Cohort: online-ui-pt-120219,Pacing: Part Time,,0,0,http://learn.co/4c6c5df0-59b3-43a4-a393-eb9bce01e4e8
Program: Online Data Science Bootcamp,Cohort: online-ds-pt-051319,Pacing: Part Time,,6,6,http://learn.co/kjsampler
Program: Online Web Developer Program,Cohort: v-000,Pacing: Self Paced,,9,9,http://learn.co/kaynicolecopp
Program: Online Web Developer Program,Cohort: v-000,Pacing: Self Paced,,13,13,http://learn.co/crosskayla
Program: Online Web Developer Program,Cohort: v-000,Pacing: Self Paced,,0,0,http://learn.co/kjleitz
Program: Online Software Engineering Bootcamp,Cohort: online-web-sp-000,Pacing: Self Paced,,0,0,http://learn.co/kavancamp
Program: Online Data Science Bootcamp,Cohort: online-ds-sp-000,Pacing: Self Paced,,1,1,http://learn.co/hkkelderman
Program: Online Software Engineering Bootcamp,Cohort: online-web-sp-000,Pacing: Self Paced,,1,1,http://learn.co/arezx
Program: Online Software Engineering Bootcamp,Cohort: online-web-sp-000,Pacing: Self Paced,,2,2,http://learn.co/necrio
Program: Online Web Developer Program,Cohort: v-000,Pacing: Self Paced,,0,0,http://learn.co/pchuk
Program: Online Software Engineering Bootcamp,Cohort: online-web-pt-051319,Pacing: Part Time,"Past Cohorts:
            online-web-pt-061019 - left on 2019-04-20 
",0,0,http://learn.co/kelleymichelle
Program: Online Software Engineering Bootcamp,Cohort: onl01-seng-pt-100619,Pacing: Part Time,"Past Cohorts:
            online-web-pt-100619 - left on 2019-11-01 
online-web-pt-100719 - left on 2019-10-04 
",0,0,http://learn.co/maass77627
Program: Online Software Engineering Bootcamp,Cohort: online-web-sp-000,Pacing: Self Paced,,1,1,http://learn.co/dobstar
Program: Online Software Engineering Bootcamp,Cohort: onl01-seng-pt-100619,Pacing: Part Time,"Past Cohorts:
            online-web-pt-100619 - left on 2019-11-01 
online-web-pt-100719 - left on 2019-10-04 
online-web-pt-090919 - left on 2019-09-05 
",1,1,http://learn.co/kmanahan
Program: Online Software Engineering Bootcamp,Cohort: online-web-pt-031119,Pacing: Part Time,,5,5,http://learn.co/kellysciandra
Program: Online Software Engineering Bootcamp,Cohort: online-web-sp-000,Pacing: Self Paced,,1,1,http://learn.co/sheddyka07
Program: Online Software Engineering Bootcamp,Cohort: onl01-seng-pt-110319,Pacing: Part Time,"Past Cohorts:
            online-web-pt-110419 - left on 2019-12-10 
online-web-pt-100719 - left on 2019-09-27 
online-web-pt-090919 - left on 2019-09-05 
",0,0,http://learn.co/xcxkelly
Program: Online Software Engineering Bootcamp,Cohort: online-web-sp-000,Pacing: Self Paced,,1,1,http://learn.co/bajis
Program: Online Software Engineering Bootcamp,Cohort: online-web-pt-041519,Pacing: Part Time,"Past Cohorts:
            online-web-pt-011419 - left on 2019-10-24 
online-web-pt-011419 - left on 2019-05-01 
",0,0,http://learn.co/kelypso
Program: Online Software Engineering Bootcamp,Cohort: online-web-pt-120919,Pacing: Part Time,,0,0,http://learn.co/kashslim
Program: Online Data Science Bootcamp,Cohort: online-ds-ft-120919,Pacing: Full Time,,1,1,http://learn.co/kelvincwaters
Program: Online Software Engineering Bootcamp,Cohort: online-web-ft-110419,Pacing: Full Time,,0,0,http://learn.co/kenney-g
Program: Online Software Engineering Bootcamp,Cohort: online-web-pt-110419,Pacing: Part Time,"Past Cohorts:
            online-web-pt-100719 - left on 2019-09-25 
online-web-pt-090919 - left on 2019-09-07 
",0,0,http://learn.co/astronori
Program: Online Software Engineering Bootcamp,Cohort: online-web-ft-110419,Pacing: Full Time,,1,1,http://learn.co/kasperken
Program: Online Web Developer Program,Cohort: v-000,Pacing: Self Paced,,0,0,http://learn.co/earleykd
Program: Online Web Developer Program,Cohort: v-000,Pacing: Self Paced,,0,0,http://learn.co/madifana
Program: Online Software Engineering Bootcamp,Cohort: online-web-pt-120919,Pacing: Part Time,"Past Cohorts:
            onl01-seng-pt-100619 - left on 2019-12-05 
online-web-pt-100619 - left on 2019-11-01 
online-web-pt-100719 - left on 2019-10-04 
",0,0,http://learn.co/kpneylon
Program: Online Software Engineering Bootcamp,Cohort: online-web-ft-090919,Pacing: Full Time,"Past Cohorts:
            online-web-pt-100719 - left on 2019-09-04 
",1,1,http://learn.co/kenyounot
Program: Online Data Science Bootcamp,Cohort: online-ds-sp-000,Pacing: Self Paced,,1,1,http://learn.co/ksikes1987
Program: Online Web Developer Program,Cohort: v-000,Pacing: Self Paced,,0,0,http://learn.co/kbarroso
Program: Online Software Engineering Bootcamp,Cohort: online-web-sp-000,Pacing: Self Paced,,2,2,http://learn.co/kingkunta1
Program: Online Software Engineering Bootcamp,Cohort: online-web-pt-120919,Pacing: Part Time,"Past Cohorts:
            online-web-pt-071519 - left on 2019-10-17 
online-web-pt-061019 - left on 2019-08-23 
",0,0,http://learn.co/kenyondra
Program: Online Software Engineering Bootcamp,Cohort: online-web-ft-090919,Pacing: Full Time,,2,2,http://learn.co/kerikh
Program: UX Design,Cohort: online-ux-ft-093019,Pacing: Full Time,"Past Cohorts:
            online-web-ft-021119 - left on 2019-09-19 
online-web-ft-011419 - left on 2019-01-07 
online-web-ft-010719 - left on 2018-12-07 
",0,0,http://learn.co/kerrialison
Program: Online Data Science Bootcamp,Cohort: online-ds-sp-000,Pacing: Self Paced,,2,2,http://learn.co/kevinsupyeah
Program: Online Software Engineering Bootcamp,Cohort: online-web-sp-000,Pacing: Self Paced,,2,2,http://learn.co/langkevin
Program: UI Design,Cohort: online-ui-pt-120219,Pacing: Part Time,,0,0,http://learn.co/c4ad7c61-ac35-4a1e-9cd8-065f3c41deb0
Program: Online Software Engineering Bootcamp,Cohort: online-web-ft-110419,Pacing: Full Time,,1,1,http://learn.co/kjdowns
Program: Online Software Engineering Bootcamp,Cohort: onl01-seng-pt-100619,Pacing: Part Time,"Past Cohorts:
            online-web-pt-081219 - left on 2019-11-05 
",1,1,http://learn.co/kfhayden
